구별,총계,최근증가율 ,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
종로구,1729,22.22222222222222,156567,147296,9271,27781,5.921426609694253,17.74384129478115,1.1043195564838058,327.2510717424225
용산구,2383,2.009771986970684,243336,229013,14323,39575,5.886099878357498,16.26352039977644,0.979304336390834,25.19202155451967
성동구,3515,1.7404580152671756,298421,291906,6515,45968,2.18315735152687,15.403741693781603,1.1778661689358323,883.3794818579963
광진구,2556,0.24578651685393257,356191,343392,12799,50370,3.5932968547773525,14.141289364414037,0.7175925276045717,309.93955686141817
동대문구,2315,0.49760765550239233,352570,338875,13695,60868,3.8843350256686615,17.264089400686387,0.6566071985704967,536.2525352376861
중랑구,3285,0.8857142857142857,396807,392041,4766,69841,1.2010876824249572,17.60074797067592,0.8278583795144743,254.31919202852987
성북구,3754,0.3254189944134078,444295,434826,9469,73158,2.1312416299980868,16.466086721660158,0.844934109094183,530.7046427692676
강북구,2462,0.4979508196721312,307537,304078,3459,62893,1.1247427138848334,20.45054741380712,0.8005540796717142,206.59563250873725
도봉구,1356,0.897196261682243,323752,321717,2035,62360,0.6285675455286762,19.26165707084435,0.41883911141861674,1378.3647724227976
노원구,2282,1.1291666666666667,522225,518278,3947,85906,0.7558044904016469,16.449997606395712,0.43697639906170715,1257.3847234658706
은평구,3660,0.27246925260170296,479607,475501,4106,85140,0.8561176129622795,17.75203447822905,0.7631248084369077,293.4767754460904
서대문구,2939,1.3353658536585367,318814,308482,10332,53440,3.2407610707183494,16.762124624389145,0.921854121839066,224.66409053715506
마포구,2401,0.625,378216,368518,9698,53494,2.56414324089938,14.14376969773886,0.6348224295111787,554.2744508859132
양천구,3307,0.7764705882352941,456019,452677,3342,66231,0.7328642008337373,14.523736949556925,0.7251890820338627,36.15130349375431
강서구,2437,0.7789934354485777,582804,577320,5484,89377,0.9409681470957646,15.33568746954379,0.4181508706185956,1348.0972567285226
구로구,4075,0.956221198156682,426675,401074,25601,70717,6.000117185211226,16.57397316458663,0.9550594714946974,923.1725579888644
금천구,2365,1.3766937669376693,244564,229844,14720,39781,6.0188744050637055,16.266089857869513,0.9670270358679119,48.17287285359271
영등포구,3773,18.661538461538463,403070,377590,25480,61197,6.3214826208847095,15.18272260401419,0.9360656957848512,716.9160391896912
동작구,2262,0.9917355371900827,398205,388730,9475,65396,2.3794276817217264,16.422696852123906,0.5680491204279203,774.3511908021737
관악구,4909,0.5553691275167785,504140,490352,13788,78400,2.7349545761098106,15.551235767842266,0.9737374538818582,1442.9692632961269
서초구,3730,1.2188365650969528,425103,421315,3788,60209,0.8910781622336235,14.163390989948319,0.8774344100135731,584.5486966225308
강남구,6645,1.1695979899497488,539538,534796,4742,75602,0.8789000960080661,14.012358721721178,1.2316092657051032,3035.3925741393014
송파구,2743,0.21161048689138576,667115,661411,5704,94145,0.8550249956903982,14.112259505482564,0.41117348583077884,1384.068391806808
강동구,2547,1.7247191011235956,468815,464900,3915,71203,0.8350842016573702,15.187867282403506,0.543284664526519,775.7501404988652
